,Opponent,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OPP FG,OPP FGA,OPP FG%,OPP 3P,OPP 3PA,OPP 3P%,OPP FT,OPP FTA,OPP FT%,OPP ORB,OPP TRB,OPP AST,OPP STL,OPP BLK,OPP TOV,OPP PF,TEAM,GP,OREB,OPP OREB,REB,OPP REB,POSS,OPP POSS,PTS,OPP PTS,PPP,OPP PPP,3PA%,OPP 3PA%,FTA%,OPP FTA%,DREB,OPP DREB,ORB%,OPP ORB%,DRB%,OPP DRB%,REB%,OPP REB%,TO%,OPP TO%,Margin,Unnamed: 0,Logo,FinalFour
521,Total,,2416,2192,867,1906,14.608,272,796,11.027000000000001,410,576,22.127000000000002,277,1140,430,156,106,370,512,810,1904,13.669,204,633,10.084,368,534,21.804000000000002,234,971,354,196,106,324,572,Princeton Tigers,32,277,234,1140,971,2162.3424,2139.8016,2416,2192,1.117306861300042,1.0243940372789702,41.76285414480588,33.24579831932773,30.220356768100736,28.04621848739496,863,737,27.317554240631164,21.330902461257978,78.66909753874202,72.68244575936883,54.002842254855516,45.997157745144484,17.11107362090296,15.141590697006677,224,87,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/163.png,False
522,St. Thomas,W,72,60,26,66,0.394,8,34,0.235,12,14,0.857,12,37,11,5,6,4,10,24,58,0.414,9,22,0.409,3,4,0.75,5,29,10,4,2,12,15,Creighton Bluejays,37,12,5,37,29,61.593599999999995,64.0896,72,60,1.1689526184538654,0.9361893349310964,51.515151515151516,37.93103448275862,21.21212121212121,6.896551724137931,25,24,33.333333333333336,16.666666666666668,83.33333333333333,66.66666666666667,56.06060606060606,43.93939393939394,6.494181213632586,18.72378669862193,12,62,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png,False
523,North Dakota,W,96,61,38,74,0.514,12,27,0.444,8,11,0.727,18,46,21,9,2,11,8,25,54,0.463,8,15,0.533,3,6,0.5,1,18,14,7,2,14,12,Creighton Bluejays,37,18,1,46,18,68.96640000000001,66.8544,96,61,1.3919821826280623,0.9124305954432319,36.486486486486484,27.77777777777778,14.864864864864865,11.11111111111111,28,17,51.42857142857143,3.4482758620689653,96.55172413793103,48.57142857142857,71.875,28.125,15.949795842613213,20.94103005935286,35,62,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png,False
524,Holy Cross,W,94,65,37,64,0.578,12,32,0.375,8,17,0.471,8,40,28,6,3,8,14,25,62,0.403,8,17,0.471,7,10,0.7,5,26,8,4,0,11,18,Creighton Bluejays,37,8,5,40,26,68.6208,69.504,94,65,1.3698470434620407,0.9351979742173112,50.0,27.419354838709676,26.5625,16.129032258064516,32,21,27.586206896551722,13.513513513513514,86.48648648648648,72.41379310344827,60.60606060606061,39.39393939393939,11.65827271031524,15.826427255985266,29,62,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png,False
525,UC-Riverside,W,80,51,32,61,0.525,8,21,0.381,8,13,0.615,9,41,13,7,4,7,10,22,62,0.355,3,19,0.158,4,6,0.667,6,29,10,1,1,9,11,Creighton Bluejays,37,9,6,41,29,62.1312,64.9344,80,51,1.2875978574371651,0.7854080425783561,34.42622950819672,30.64516129032258,21.311475409836067,9.67741935483871,32,23,28.125,15.789473684210526,84.21052631578948,71.875,58.57142857142857,41.42857142857143,11.266481252575195,13.860141927853341,29,62,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png,False
526,Texas Tech,W,76,65,27,49,0.551,9,20,0.45,13,17,0.765,6,30,12,3,6,13,11,27,62,0.435,6,16,0.375,5,7,0.714,8,25,15,6,1,9,17,Creighton Bluejays,37,6,8,30,25,60.9408,63.4368,76,65,1.2471119512707414,1.0246418482647297,40.816326530612244,25.806451612903224,34.69387755102041,11.290322580645162,24,17,26.08695652173913,25.0,75.0,73.91304347826087,54.54545454545455,45.45454545454545,21.33217811384163,14.187348668280872,11,62,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png,False
527,Arkansas,W,90,87,31,53,0.585,7,14,0.5,21,29,0.724,5,33,17,5,3,16,16,33,70,0.471,8,20,0.4,13,17,0.765,7,25,15,8,5,9,21,Creighton Bluejays,37,5,7,33,25,73.6896,76.3008,90,87,1.2213392391870765,1.140223955712129,26.41509433962264,28.571428571428573,54.716981132075475,24.285714285714285,28,18,21.73913043478261,20.0,80.0,78.26086956521739,56.89655172413793,43.10344827586207,21.712697585548028,11.795420231504782,3,62,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png,False
528,Arizona,L,79,81,27,59,0.458,10,25,0.4,15,19,0.789,3,28,15,8,3,9,11,36,68,0.529,5,16,0.313,4,7,0.571,7,36,21,7,4,12,18,Creighton Bluejays,37,3,7,28,36,70.4256,73.0368,79,81,1.1217511813885859,1.1090299684542586,42.3728813559322,23.529411764705884,32.20338983050848,10.294117647058824,25,29,9.375,21.875,78.125,90.625,43.75,56.25,12.779443838604143,16.43007360672976,-2,62,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png,False
529,Texas,L,67,72,27,66,0.409,4,27,0.148,9,14,0.643,8,40,12,3,5,8,11,31,74,0.419,4,19,0.211,6,8,0.75,8,37,15,3,3,3,12,Creighton Bluejays,37,8,8,40,37,69.27359999999999,69.61919999999999,67,72,0.9671794161123431,1.0341974627688915,40.90909090909091,25.675675675675677,21.21212121212121,10.81081081081081,32,29,21.62162162162162,20.0,80.0,78.37837837837837,51.94805194805195,48.05194805194805,11.548410938654843,4.309156094870381,-5,62,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png,False
530,Nebraska,L,53,63,20,65,0.308,10,40,0.25,3,5,0.6,9,35,15,9,2,14,10,28,59,0.475,3,12,0.25,4,7,0.571,4,39,12,8,1,13,9,Creighton Bluejays,37,9,4,35,39,69.312,68.2368,53,63,0.7646583564173592,0.9232554867754642,61.53846153846154,20.338983050847457,7.6923076923076925,11.864406779661017,26,35,20.454545454545453,13.333333333333334,86.66666666666667,79.54545454545455,47.2972972972973,52.7027027027027,20.198522622345337,19.051303695366723,-10,62,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png,False
